chars	skip
！,!	TRUE
?,？	TRUE
…	TRUE
·,・	TRUE
‘,'	TRUE
＋,+,十	TRUE
~,〜	TRUE
♡,つ,©	TRUE
ー,一	TRUE
a,A	FALSE
b,B	FALSE
c,C	FALSE
d,D	FALSE
e,E	FALSE
f,F	FALSE
g,G	FALSE
h,H	FALSE
i,I	FALSE
j,J	FALSE
k,K	FALSE
l,L	FALSE
m,M	FALSE
n,N	FALSE
o,O	FALSE
p,P	FALSE
q,Q	FALSE
r,R	FALSE
s,S	FALSE
t,T	FALSE
u,U	FALSE
v,V	FALSE
w,W	FALSE
x,X	FALSE
y,Y	FALSE
z,Z	FALSE
ぁ,あ	TRUE
ァ,ア	TRUE
っ,つ	TRUE
ッ,ツ	TRUE
ぱ,ば	FALSE
パ,バ	FALSE
ぴ,び	FALSE
ピ,ビ	FALSE
ぷ,ぶ	FALSE
プ,ブ	FALSE
ぺ,べ	FALSE
ペ,ベ	FALSE
ぽ,ぼ	FALSE
ポ,ボ	FALSE
ゃ,や	TRUE
ャ,ヤ	TRUE
ゅ,ゆ	TRUE
ュ,ユ	TRUE
ょ,よ	TRUE
ョ,ヨ	TRUE
凛,源,導	TRUE
栞,柔	TRUE
澤,響,導,潔	TRUE
綺,締	TRUE
莉,刺	TRUE
菜,葉	TRUE
鞠,鞘	TRUE
巫,基	TRUE
薔,蓄	TRUE
薇,蔽	TRUE
穂,穗	TRUE
